community_note,created_at,edits_remaining,favorite_count,full_text,has_card,has_community_notes,hashtags,id,in_reply_to,is_quote_status,is_translatable,lang,media,place,poll,possibly_sensitive,quote,quote_count,reply_count,retweet_count,retweeted_tweet,thumbnail_title,thumbnail_url,urls,user,view_count,view_count_state
None,Tue Oct 01 12:07:40 +0000 2024,5,2144,"Zambia's former First Lady, Esther Lungu has been ordered to return 15 luxury flats worth $1.4 million by  a court.

The court ruled that she couldn't reasonably prove how she acquired the property, and that the flats were proceeds of crime. https://t.co/Ugxs6Cwk5l",False,None,,1841087585348686041,None,False,False,en,"https://pbs.twimg.com/media/GYzbZUrWwAUKuvR.jpg,https://pbs.twimg.com/media/GYzbZWeXsAQZeZX.jpg,https://pbs.twimg.com/media/GYzbZbhWMAQSarC.jpg,https://pbs.twimg.com/media/GYzbZjJWIAIkgvB.jpg",None,None,False,None,170,169,611,None,None,None,None,129009730,238761,EnabledWithCount
None,Sun Sep 29 02:00:00 +0000 2024,5,1001,"The San peoples, aka the ""Bushmen"", are various indigenous hunter-gatherer groups of Southern Africa

Two of them, with only a stick, demonstrate how humans can keep wildlife under control even without technology.
https://t.co/Acw1fLvVyG",False,None,,1840209886010818796,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1671480018994876417/pu/img/1ULFwIMNuf9TNaIn.jpg,None,None,False,None,7,83,113,None,None,None,None,177101260,265759,EnabledWithCount
None,Fri Sep 27 08:15:47 +0000 2024,5,1137,"Rap Battle (Africa Edition)
I bring Phyno Fino, who are you bringing? https://t.co/ul466zoKET",False,None,,1839579677339406419,None,False,False,en,https://pbs.twimg.com/media/GYd_9e2XEAAJeO8.jpg,None,None,False,None,41,399,284,None,None,None,None,1238205589123141633,78088,EnabledWithCount
None,Sat Sep 28 13:06:53 +0000 2024,5,1033,"The body of a man who fell to his death when sections of the literal Post Office that he was stripping, collapsed. South Africa is in serious decline.. and things are starting to catch up. ""Ons sal self"" is the way forward. https://t.co/WKwkNPq22j",False,None,,1840015320947536181,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1840015297731850240/pu/img/pzvfYzq0mlzDb8A6.jpg,None,None,False,None,19,82,178,None,None,None,None,1489956224179261446,111790,EnabledWithCount
None,Tue Oct 01 17:45:42 +0000 2024,5,2966,"This is Uncle Hendrik Venter (81) from Kuruman in the Northern Cape, South Africa. He is the most recent South African farmer to be murdered in cold blood. Almost 3000 South African farmers have been killed in South Africa in the last 30 years - most in brutal ways that often include torture. Today there are less than 30 000 commercial farmers left in South Africa, a country with a population of more than 60 million people.

These killings will go on as long as Government officials and Political Leaders call white farmers ‘land thieves’ and sing songs like kill the boer.

https://t.co/7G0ayOYbZ3",False,None,,1841172652045844861,None,False,False,en,https://pbs.twimg.com/media/GY0owjCXsAAXhDA.jpg,None,None,False,None,57,344,1015,None,None,None,https://maroelamedia.co.za/nuus/sa-nuus/twee-vrygelaat-vir-moord-op-kuruman-boer/,934443084263448577,153437,EnabledWithCount
None,Thu Sep 26 20:10:06 +0000 2024,5,23463,"BREAKING: Gilead Sciences has announced a recall of its antiviral drug remdesivir.

Remdesivir had a 53% mortality rate in clinical trials done in Africa. This is the same medication they forced on us while preventing us from using hydroxychloroquine &amp; ivermectin! https://t.co/gJkuo451SP",False,None,,1839397053983834528,None,False,False,en,https://pbs.twimg.com/media/GYbZ2_1bcAAeK24.jpg,None,None,False,None,938,954,13844,None,None,None,None,806344552718045184,1572179,EnabledWithCount
None,Mon Sep 30 13:42:03 +0000 2024,5,3318,"We have confirmation that Morara kebaso is being held at Nairobi Regional police headquarters after being taken from his Kahawa offices. 

Attempts by lawyers and colleagues to access have been thwarted by police at the gate.

Crowds are beginning to gather outside the police station gate.

This is totally unacceptable.",False,None,,1840748949784650183,None,False,False,en,https://pbs.twimg.com/ext_tw_video_thumb/1840748769341480960/pu/img/nkG_oJQ5EoTK2b9x.jpg,"<Place id=""01e215db7136a37e"" name=""Nairobi"">",None,False,None,49,132,2166,None,None,None,None,1681345493438275584,153389,EnabledWithCount
None,Tue Oct 01 14:26:28 +0000 2024,5,1949,"Today marks yet another anniversary of our independence, the great Nigeria, Giant of Africa, like they said.
Today should symbolize our freedom, but does it?
Have we really been free?

Since our heroes past celebrated on 1st October 1960, have Nigerians ever celebrated a true Independence?
The first and last day that a 64 years old celebrated was the day of his birth, isn’t that a calamity?

Just today, while the nation waves its green and white flags, peaceful protesters who dared to call for a better Nigeria were met with tear gas and brutality from the State, and only recently, in August, others were killed for asking for a better Nigeria free from hunger. And let us not forget October 20, 2020, one of the darkest days in our history, when peaceful protesters seeking justice and an end to police brutality were brutally murdered in the same month we celebrate freedom. So Nigeria, when have we ever been free?

The wealth of this blessed Nation remains concentrated in the hands of a few, while millions suffer and die.
And the leaders call that Independence.

Today Nigeria is not free. In Nigeria, Bandits celebrate independence, Terrorist celebrate independence, insecurity celebrate independence, kidnappers are very much independent, corruption celebrates the biggest independence while the people cry for help.

As we mark our independence today, we mark the failure of our leaders.
We mark the betrayal of the hopes and dreams of Nigerians.
A betrayal to the Nigeria of our dreams.

Our leaders have driven us into poverty, leaving us with nothing but hope.
Hope they constantly try to crush, but then claim that they renew.
Yet, in the face of these challenges, we continue to rise. Our spirit unbroken, and our belief in a better Nigeria is standing strong.
This hope they try to crush, we have kept it alive.

Today, I say Happy Independence to Nigeria, not because we are truly free, but because I believe in the resilience of our people. Despite the challenges, despite the terrible leaders, we have not given up.

We are a nation of dreamers, fighters, and believers of a great future, of true independence. Until then, we will continue to speak up, demand better, and to strive for the Nigeria we all deserve.

Happy Independence, Nigeria.
May we one day truly get the freedom that we deserve.",False,None,,1841122514258268256,None,False,False,en,https://pbs.twimg.com/media/GYz7KLgXsAIqAgF.jpg,None,None,False,None,16,131,495,None,None,None,None,843773075128836096,44500,EnabledWithCount
None,Wed Oct 02 15:54:22 +0000 2024,5,81,"I'm Homeless, Ex-BBN Winner, Karen Igho, Opens Up About Marital Struggles

Winner of the 2011 Big Brother Africa, Karen Igho, has made a plea for help on social media, revealing her struggles with homelessness, abuse, and marital struggles.

Igho confirmed her situation in a video shared on https://t.co/J4XDNWmBJj on Wednesday, showing herself in a shelter.

""I want to prove that it is me, and indeed I am homeless,"" she said. ""I woke up in my homeless shelter, and I've been here for more than one year. I've been going up and down from shelter to shelter.""

Continue reading: https://t.co/kLYXNZVEGd",False,None,,1841507023042584879,None,False,False,en,"https://pbs.twimg.com/ext_tw_video_thumb/1841506126866608128/pu/img/WnExeCer4s4yeDE_.jpg,https://pbs.twimg.com/media/GY5Y3NnWkAAduCy.jpg",None,None,False,None,6,30,47,None,None,None,"http://X.com,https://punchng.com/im-homeless-ex-bbn-winner-karen-igho-opens-up-about-marital-struggles/",24291371,52070,EnabledWithCount
None,Fri Sep 27 13:39:17 +0000 2024,5,9910,South Africa is constructing a massive wall on its border with Mozambique to tackle car smuggling and illegal immigration. https://t.co/V3VxYjBlw9,False,None,,1839661088499011948,None,False,False,en,"https://pbs.twimg.com/media/GYfKAP2XcAAh80B.jpg,https://pbs.twimg.com/media/GYfKAQAXwAAUOlI.jpg,https://pbs.twimg.com/media/GYfKAUiWkAA5rKF.jpg,https://pbs.twimg.com/media/GYfKAYLXoAA8-oW.jpg",None,None,False,None,149,528,1399,None,None,None,None,129009730,857310,EnabledWithCount
